Assembly Accession,Assembly Name,Organism Name,Organism Taxonomic ID,ANI Check status,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Cultivar,Organism Infraspecific Names Ecotype,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Assembly Stats Total Sequence Length,Assembly Stats Total Number of Chromosomes,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Contig N50,Assembly Stats Scaffold N50,Assembly Stats Number of Scaffolds,Annotation BUSCO Complete ,Annotation BUSCO Single Copy ,Annotation BUSCO Duplicated ,Annotation BUSCO Fragmented ,Annotation BUSCO Missing ,Annotation BUSCO Lineage ,Assembly Sequencing Tech,Assembly Submitter,Assembly BioProject Accession,Assembly BioSample Accession,Annotation Count Gene Total,Annotation Count Gene Protein-coding,Annotation Count Gene Pseudogene,Type Material Display Text,CheckM marker set,CheckM completeness,CheckM contamination
GCF_000969905.1,ASM96990v1,Methanosarcina vacuolata Z-761,1434123,OK,,Z-761,,,,,GCF_000969905.1-RS_2024_10_21,4563885,2,Complete Genome,4/7/2015,,4505752,4505752,2,,,,,,,ABI 3730; 454 GS-FLX Titanium; Illumina GAIIx; Illumina MiSeq,University of Illinois at Urbana-Champaign,PRJNA230962,SAMN03074598,3813,3617,125,assembly from type material,Methanosarcina,97.16,5.58
GCF_013415885.1,ASM1341588v1,Halosimplex rubrum,869889,OK,,R27,,,,,GCF_013415885.1-RS_2024_10_23,4480147,1,Complete Genome,7/15/2020,,4480147,4480147,1,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA644749,SAMN15472373,4519,4375,75,assembly from type material,Halobacteriales,99.93,1.66
GCF_002906575.1,ASM290657v1,Salinigranum rubrum,755307,OK,,GX10,,,,,GCF_002906575.1-RS_2024_10_23,4973118,6,Complete Genome,1/30/2018,,4250563,4250563,6,,,,,,,PacBio,ZheJiang University,PRJNA430969,SAMN08381148,5072,4715,300,assembly from type material,Halobacteriales,92.53,0.41
GCF_024298825.1,ASM2429882v1,Haloglomus salinum,2962673,OK,,ZY58,,,,,GCF_024298825.1-RS_2024_06_24,4190378,1,Complete Genome,7/18/2022,,4190378,4190378,1,,,,,,,PacBio,Jiangsu University,PRJNA856401,SAMN29548546,4132,4055,27,assembly from type material,Halobacteriales,97.72,2.3
GCF_020405205.1,ASM2040520v1,Natrinema salinisoli,2878535,OK,,SLN56,,,,,GCF_020405205.1-RS_2024_05_06,4704203,3,Complete Genome,10/10/2021,,4190307,4190307,3,,,,,,,PacBio Sequel,Jiangsu University,PRJNA766180,SAMN21621845,4680,4550,67,assembly from type material,Natrinema,94.18,14.85
GCF_024298885.1,ASM2429888v1,Haloglomus halophilum,2962672,OK,,ZY41,,,,,GCF_024298885.1-RS_2024_06_24,4445689,3,Complete Genome,7/18/2022,,4179737,4179737,3,,,,,,,PacBio,Jiangsu University,PRJNA856400,SAMN29548545,4339,4241,47,assembly from type material,Halobacteriales,98.96,2.18
GCF_016065055.1,ASM1606505v1,Halosimplex litoreum,1198301,OK,,YGH94,,,,,GCF_016065055.1-RS_2024_10_23,4158049,1,Complete Genome,12/15/2020,,4158049,4158049,1,,,,,,,PacBio,Jiangsu University,PRJNA682869,SAMN17013084,4125,4043,27,assembly from type material,Halobacteriales,99.93,0.87
GCF_025231485.1,ASM2523148v1,Salinirubellus salinus,1364945,Inconclusive,,ZS-35-S2,,,,,GCF_025231485.1-RS_2024_07_29,4376714,2,Complete Genome,9/11/2022,,4127382,4127382,2,,,,,,,PacBio,Jiangsu University,PRJNA875561,SAMN30618693,4510,4409,48,assembly from type material,Halobacteriales,98.76,2.49
GCF_029338335.1,ASM2933833v1,Halomontanus rarus,3034020,Inconclusive,,TS33,,,,,GCF_029338335.1-RS_2024_05_12,5998452,6,Complete Genome,3/22/2023,,4121906,4121906,6,,,,,,,PacBio Sequel,Jiangsu University,PRJNA943120,SAMN33708874,5559,5371,132,assembly from type material,Halobacteriales,99.1,1.66
GCF_024362485.1,ASM2436248v1,Natronobeatus ordinarius,2963433,Inconclusive,,WLHSJ27,,,,,GCF_024362485.1-RS_2024_05_12,4208668,2,Complete Genome,7/21/2022,,4075090,4075090,2,,,,,,,PacBio,Jiangsu University,PRJNA857837,SAMN29638647,4208,4068,82,assembly from type material,Halobacteriales,99.31,0.83
GCF_013402875.1,ASM1340287v1,Halorarum salinum,2743089,OK,,NJ-3-1,,,,,GCF_013402875.1-RS_2024_10_23,4258755,2,Complete Genome,7/12/2020,,4019272,4019272,2,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA638230,SAMN15183787,4318,4201,64,assembly from type material,Halobacteriales,99,1.39
GCF_017357105.1,ASM1735710v2,Natronosalvus caseinilyticus,2953747,OK,,KZCA101,,,,,GCF_017357105.1-RS_2024_05_06,4235112,2,Complete Genome,7/13/2022,,4004921,4004921,2,,,,,,,PacBio,Jiangsu University,PRJNA707374,SAMN18203325,4112,3992,65,assembly from type material,Halobacteriales,97.86,0.41
GCF_024228675.1,ASM2422867v1,Salinigranum marinum,1515595,OK,,ZS-10,,,,,GCF_024228675.1-RS_2024_05_06,4906407,4,Complete Genome,7/13/2022,,4002753,4002753,4,,,,,,,PacBio Sequel,Jiangsu University,PRJNA854302,SAMN29427989,4862,4672,128,assembly from type material,Halobacteriales,99.41,1.66
GCF_024362405.1,ASM2436240v1,Halorarius litoreus,2962676,OK,,BND22,,,,,GCF_024362405.1-RS_2024_06_24,4167635,2,Complete Genome,7/21/2022,,4002298,4002298,2,,,,,,,PacBio Sequel,Jiangsu University,PRJNA856432,SAMN29552483,4390,4293,44,assembly from type material,Halobacteriales,98.96,3.73
GCF_024138165.1,ASM2413816v1,Halorussus vallis,2953749,OK,,XZYJT10,,,,,GCF_024138165.1-RS_2024_07_29,5051069,5,Complete Genome,7/5/2022,,3955869,3955869,5,,,,,,,Oxford Nanopore,Jiangsu University,PRJNA850507,SAMN29182859,5079,4971,53,assembly from type material,Halobacteriales,98.27,1.66
GCF_024227435.1,ASM2422743v1,Natrinema caseinilyticum,2961570,OK,,ZJ2,,,,,GCF_024227435.1-RS_2024_05_06,4771358,3,Complete Genome,7/13/2022,,3942503,3942503,3,,,,,,,PacBio Sequel,Jiangsu University,PRJNA853933,SAMN29416498,4636,4447,132,assembly from type material,Natrinema,92.97,18.66
GCF_002156705.1,ASM215670v1,Natrarchaeobaculum aegyptiacum,745377,OK,,JW/NM-HA 15,,,,,GCF_002156705.1-RS_2024_10_22,3930546,1,Complete Genome,5/23/2017,,3930546,3930546,1,,,,,,,PacBio,Chinese Academy of Agricultural Sciences,PRJNA376078,SAMN06349942,3853,3717,78,assembly from type material,Halobacteriales,98.27,0.41
GCF_023028105.1,ASM2302810v1,Halosolutus gelatinilyticus,2931975,OK,,SQT-29-1,,,,,GCF_023028105.1-RS_2024_05_12,4757880,4,Complete Genome,4/18/2022,,3906818,3906818,4,,,,,,,Illumina,Jiangsu University,PRJNA822525,SAMN27190946,4584,4439,83,assembly from type material,Halobacteriales,98.96,0.83
GCF_024498195.1,ASM2449819v1,Halovivax cerinus,1487865,OK,,IBRC-M 10256,,,,,GCF_024498195.1-RS_2024_05_06,3902757,1,Complete Genome,8/1/2022,,3902757,3902757,1,,,,,,,PacBio,Jiangsu University,PRJNA861114,SAMN29883696,3697,3602,45,assembly from type material,Halobacteriales,98.45,
GCF_023093535.1,ASM2309353v1,Halovivax limisalsi,1453760,OK,,IBRC-M 10022,,,,,GCF_023093535.1-RS_2024_05_06,3894819,1,Complete Genome,4/23/2022,,3894819,3894819,1,,,,,,,Illumina,Jiangsu University,PRJNA826305,SAMN27554405,3631,3542,39,assembly from type material,Halobacteriales,97.82,0.14
GCF_024298905.1,ASM2429890v1,Natronomonas marina,2961939,Inconclusive,,ZY43,,,,,GCF_024298905.1-RS_2024_06_24,3993555,2,Complete Genome,7/18/2022,,3846278,3846278,2,,,,,,,PacBio,Jiangsu University,PRJNA855033,SAMN29480431,4182,4043,85,assembly from type material,Halobacteriales,99.36,2.49
GCF_023973145.1,ASM2397314v1,Natronosalvus vescus,2953881,OK,,CGA3,,,,,GCF_023973145.1-RS_2024_05_06,3836670,1,Complete Genome,6/28/2022,,3836670,3836670,1,,,,,,,PacBio,Jiangsu University,PRJNA850833,SAMN29203671,3639,3529,55,assembly from type material,Halobacteriales,97.86,0.83
GCF_017352155.2,ASM1735215v2,Haloterrigena alkaliphila,2816475,OK,,KZCA68,,,,,GCF_017352155.2-RS_2024_05_12,4270687,3,Complete Genome,10/19/2021,,3823492,3823492,3,,,,,,,PacBio,Jiangsu University,PRJNA706548,SAMN18137898,4204,4065,80,assembly from type material,Haloterrigena,90.46,9.4
GCF_020700235.1,ASM2070023v1,Haladaptatus pallidirubidus,1008152,OK,,YIM 93656,,,,,GCF_020700235.1-RS_2024_07_29,6270521,7,Complete Genome,11/1/2021,,3821467,3821467,7,,,,,,,PacBio,Jiangsu University,PRJNA772083,SAMN22364628,6588,6288,233,assembly from type material,Halobacteriales,99.52,2.35
GCF_024204665.1,ASM2420466v1,Natronosalvus rutilus,2953753,OK,,WLHS1,,,,,GCF_024204665.1-RS_2024_05_06,4312161,4,Complete Genome,7/11/2022,,3786994,3786994,4,,,,,,,PacBio,Jiangsu University,PRJNA850622,SAMN29198663,4249,4106,86,assembly from type material,Halobacteriales,98.34,0.97
GCF_013456555.2,ASM1345655v2,Natrinema zhouii,1710539,OK,,YPL30,,,,,GCF_013456555.2-RS_2024_05_12,5336312,5,Complete Genome,10/19/2021,,3779651,3779651,5,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA643686,SAMN15423708,5348,5017,268,assembly from type material,Natrinema,94.66,19.35
GCF_024296685.1,ASM2429668v1,Natrinema marinum,2961598,OK,,DT87,,,,,GCF_024296685.1-RS_2024_05_12,3766003,1,Complete Genome,7/17/2022,,3766003,3766003,1,,,,,,,PacBio Sequel,Jiangsu University,PRJNA854279,SAMN29426053,3769,3671,41,assembly from type material,Natrinema,92.14,6.33
GCF_013391105.1,ASM1339110v1,Natronomonas salina,1710540,OK,,YPL13,,,,,GCF_013391105.1-RS_2024_05_05,3746575,1,Complete Genome,7/7/2020,,3746575,3746575,1,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA641280,SAMN15354321,3946,3864,32,assembly from type material,Halobacteriales,97.37,1.66
GCF_024298865.1,ASM2429886v1,Halorarius halobius,2962671,Inconclusive,,ZY10,,,,,GCF_024298865.1-RS_2024_06_24,4399335,5,Complete Genome,7/18/2022,,3743174,3743174,5,,,,,,,PacBio,Jiangsu University,PRJNA856398,SAMN29548489,4570,4465,53,assembly from type material,Halobacteriales,99.07,1.76
GCF_024300625.1,ASM2430062v1,Halovivax gelatinilyticus,2961597,OK,,CGA30,,,,,GCF_024300625.1-RS_2024_05_06,3700630,1,Complete Genome,7/18/2022,,3700630,3700630,1,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA854277,SAMN29426050,3544,3458,37,assembly from type material,Halobacteriales,99.07,0.41
GCF_013401515.1,ASM1340151v1,Halorarum halophilum,2743090,OK,,Gai3-2,,,,,GCF_013401515.1-RS_2024_10_23,4277959,4,Complete Genome,7/11/2020,,3678615,3678615,4,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA638228,SAMN15183765,4356,4237,46,assembly from type material,Halobacteriales,98.58,1.9
GCF_023028345.1,ASM2302834v1,Halorientalis marina,2931976,OK,,GDY88,,,,,GCF_023028345.1-RS_2024_08_31,4754137,4,Complete Genome,4/18/2022,,3675221,3675221,4,,,,,,,PacBio Sequel,Jiangsu University,PRJNA822520,SAMN27190925,4844,4683,103,assembly from type material,Halobacteriales,99.52,1.45
GCF_023238445.1,ASM2323844v1,Halorussus gelatinilyticus,2937524,OK,,XZYJT40,,,,,GCF_023238445.1-RS_2024_07_29,3668365,1,Complete Genome,5/4/2022,,3668365,3668365,1,,,,,,,PacBio Sequel,Jiangsu University,PRJNA831001,SAMN27746577,3746,3656,32,assembly from type material,Halobacteriales,98.76,0.83
GCF_024266705.1,ASM2426670v1,Natrinema gelatinilyticum,2961571,OK,,BND6,,,,,GCF_024266705.1-RS_2024_05_12,5443578,3,Complete Genome,7/14/2022,,3661312,3661312,3,,,,,,,PacBio Sequel,Jiangsu University,PRJNA853941,SAMN29416696,5342,4952,334,assembly from type material,Natrinema,93.97,27.88
GCF_023008545.1,ASM2300854v1,Natribaculum luteum,1586232,OK,,IBRC-M 10912,,,,,GCF_023008545.1-RS_2024_05_12,4611642,3,Complete Genome,4/16/2022,,3656043,3656043,3,,,,,,,PacBio Sequel,Jiangsu University,PRJNA824306,SAMN27400904,4649,4393,188,assembly from type material,Halobacteriales,99.72,2.21
GCF_008831545.1,ASM883154v1,Halorussus halophilus,2650975,OK,,ZS-3,,,,,GCF_008831545.1-RS_2024_10_23,4450731,4,Complete Genome,10/7/2019,,3636252,3636252,4,,,,,,,PacBio; Illumina HiSeq,Jiangsu University,PRJNA574568,SAMN12860083,4483,4399,27,assembly from type material,Halobacteriales,99.1,1.45
GCF_024296665.1,ASM2429666v1,Salinilacihabitans rarus,2961596,Inconclusive,,AD-4,,,,,GCF_024296665.1-RS_2024_05_06,3622565,1,Complete Genome,7/17/2022,,3622565,3622565,1,,,,,,,PacBio Sequel,Jiangsu University,PRJNA854271,SAMN29425916,3804,3712,40,assembly from type material,Halobacteriales,99.17,0.58
GCF_024218795.1,ASM2421879v1,Halorussus aquaticus,2953748,OK,,XZYJ18,,,,,GCF_024218795.1-RS_2024_07_29,4739434,4,Complete Genome,7/12/2022,,3588463,3588463,4,,,,,,,Oxford Nanopore,Jiangsu University,PRJNA850505,SAMN29182851,4852,4675,112,assembly from type material,Halobacteriales,99.1,2.07
GCF_023238205.1,ASM2323820v1,Halorussus limi,2938695,OK,,XZYJT49,,,,,GCF_023238205.1-RS_2024_07_29,4624940,5,Complete Genome,5/4/2022,,3579900,3579900,5,,,,,,,PacBio Sequel,Jiangsu University,PRJNA831011,SAMN27747444,4683,4549,58,assembly from type material,Halobacteriales,99.52,1.66
GCF_024228315.1,ASM2422831v1,Halomarina pelagica,2961599,OK,,BND7,,,,,GCF_024228315.1-RS_2024_07_29,4601757,7,Complete Genome,7/13/2022,,3541364,3541364,7,,,,,,,PacBio Sequel,Jiangsu University,PRJNA854293,SAMN29426659,4748,4604,92,assembly from type material,Halobacteriales,99.52,2.25
GCF_030127105.1,ASM3012710v1,Haloarcula pelagica,3033389,OK,,YJ-61-S,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4458205,4,Complete Genome,5/29/2023,,3529922,3529922,4,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA942495,SAMN33693483,4670,4456,157,assembly from type material,Haloarcula,85.21,12.98
GCF_024298845.1,ASM2429884v1,Natronosalvus amylolyticus,2961994,OK,,WLHSJ1,,,,,GCF_024298845.1-RS_2024_05_06,4217547,5,Complete Genome,7/18/2022,,3523614,3523614,5,,,,,,,PacBio,Jiangsu University,PRJNA855601,SAMN29498734,3919,3815,50,assembly from type material,Halobacteriales,98.76,0.62
GCF_024138145.1,ASM2413814v1,Natronosalvus halobius,2953746,OK,,AGai3-5,,,,,GCF_024138145.1-RS_2024_05_06,3854603,3,Complete Genome,7/5/2022,,3513191,3513191,3,,,,,,,PacBio,Jiangsu University,PRJNA850544,SAMN29188008,3754,3640,59,assembly from type material,Halobacteriales,98.13,0.83
GCF_029338395.1,ASM2933839v1,Halorussus caseinilyticus,3034025,OK,,DT72,,,,,GCF_029338395.1-RS_2024_03_17,4392332,5,Complete Genome,3/22/2023,,3483401,3483401,5,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA943350,SAMN33716999,4347,4208,82,assembly from type material,Halobacteriales,96.2,0.83
GCF_024498175.1,ASM2449817v1,Haloplanus salinarum,1912324,Inconclusive,,JCM 31424,,,,,GCF_024498175.1-RS_2024_05_06,3450905,1,Complete Genome,8/1/2022,,3450905,3450905,1,,,,,,,PacBio,Jiangsu University,PRJNA861110,SAMN29883561,3634,3510,68,assembly from type material,Halobacteriales,98.96,1.74
GCF_003342675.1,ASM334267v1,Haloplanus rubicundus,1547898,OK,,CBA1112,,,,,GCF_003342675.1-RS_2024_10_23,3773640,3,Complete Genome,7/26/2018,,3401387,3401387,3,,,,,,,PacBio,World Institute of Kimchi,PRJNA481590,SAMN09684735,3957,3829,69,assembly from type material,Halobacteriales,98.96,0.91
GCF_029338375.1,ASM2933837v1,Halorussus lipolyticus,3034024,OK,,DT80,,,,,GCF_029338375.1-RS_2024_03_17,4135236,5,Complete Genome,3/22/2023,,3383853,3383853,5,,,,,,,PacBio Sequel,Jiangsu University,PRJNA943339,SAMN33716851,4056,3977,22,assembly from type material,Halobacteriales,99.52,1.04
GCF_020405185.1,ASM2040518v1,Halomicrobium salinisoli,2878391,OK,,LT50,,,,,GCF_020405185.1-RS_2024_03_28,3846467,3,Complete Genome,10/10/2021,,3371609,3371609,3,,,,,,,PacBio,Jiangsu University,PRJNA765798,SAMN21590223,3818,3732,21,assembly from type material,Halomicrobium,85.71,15.46
GCF_024218775.1,ASM2421877v1,Haloarcula marina,2961574,OK,,DT1,,,,,GCF_024218775.1-RS_2024_06_03,3739652,3,Complete Genome,7/12/2022,,3357773,3357773,3,,,,,,,PacBio Sequel,Jiangsu University,PRJNA853861,SAMN29406380,3901,3800,43,assembly from type material,Halobacteriales,99.93,0.41
GCF_020217425.1,ASM2021742v1,Halomicrobium urmianum,1586233,OK,,IBRC-M: 10911,,,,,GCF_020217425.1-RS_2024_09_02,4254704,6,Complete Genome,10/3/2021,,3355004,3355004,6,,,,,,,PacBio,Jiangsu University,PRJNA765798,SAMN21591356,4307,4142,100,assembly from type material,Halomicrobium,86.71,16.7
GCF_029338255.1,ASM2933825v1,Haloarcula halobia,3033388,OK,,XH51,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),3484032,2,Complete Genome,3/22/2023,,3354654,3354654,2,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA942493,SAMN33693477,3658,3519,83,assembly from type material,Haloarcula,84.72,7.23
GCF_009392895.1,ASM939289v1,Natronorubrum aibiense,348826,OK,,3-Jul,,,,,GCF_009392895.1-RS_2024_10_23,4348483,4,Complete Genome,10/30/2019,,3352994,3352994,4,,,,,,,PacBio Sequel,Jiangsu University,PRJNA578237,SAMN13053294,4296,4107,118,assembly from type material,Natronorubrum,79.65,12.66
GCF_026410925.1,ASM2641092v1,Halovenus salina,1510225,OK,,JCM 30072,,,,,GCF_026410925.1-RS_2024_07_29,3769933,4,Complete Genome,11/27/2022,,3328418,3328418,4,,,,,,,PacBio,Jiangsu University,PRJNA902944,SAMN31779816,3789,3605,129,assembly from type material,Halobacteriales,98.05,2.86
GCF_002952775.1,ASM295277v1,Halalkaliarchaeum desulfuricum,2055893,OK,,AArc-Sl,,,,,GCF_002952775.1-RS_2024_10_23,3313120,1,Complete Genome,2/1/2018,,3313120,3313120,1,,,,,,,Illumina MiSeq,C.N.R. - Institute for Coastal Marine Environment (IAMC),PRJNA419617,SAMN08093583,3359,3242,62,assembly from type material,Halobacteriales,98.89,2.7
GCF_029338195.1,ASM2933819v1,Haloarcula litorea,3032579,OK,,GDY20,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),3789806,3,Complete Genome,3/22/2023,,3304793,3304793,3,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA942191,SAMN33658220,4029,3910,60,assembly from type material,Haloarcula,86.44,4.81
GCF_009762275.1,ASM976227v1,Haloplanus rallus,1816183,Inconclusive,,MBLA0036,,,,,GCF_009762275.1-RS_2024_10_23,3560302,2,Complete Genome,12/18/2019,,3292487,3292487,2,,,,,,,PacBio RSII,Korea Food Research Institute,PRJNA508483,SAMN10524788,3706,3577,73,assembly from type material,Halobacteriales,98.96,0.91
GCF_001304615.2,ASM130461v2,Methanosarcina flavescens,1715806,OK,,E03.2,,,,,GCF_001304615.2-RS_2024_10_23,3283688,1,Complete Genome,10/16/2018,,3283688,3283688,1,,,,,,,Illumina MiSeq; Oxford Nanopore MiniION,BioPara,PRJNA295508,SAMN04074913,2908,2796,49,assembly from type material,Methanosarcina,90.12,4.15
GCF_020150815.1,ASM2015081v1,Haloprofundus salilacus,2876190,OK,,Gai1-5,,,,,GCF_020150815.1-RS_2024_05_06,3727714,2,Complete Genome,9/26/2021,,3239131,3239131,2,,,,,,,PacBio Sequel,Jiangsu University,PRJNA763292,SAMN21437237,3778,3667,52,assembly from type material,Halobacteriales,98.69,0.41
GCF_020097835.1,ASM2009783v1,Haloprofundus halobius,2876194,OK,,SEDH52,,,,,GCF_020097835.1-RS_2024_05_06,3947132,5,Complete Genome,9/23/2021,,3226056,3226056,5,,,,,,,PacBio Sequel,Jiangsu University,PRJNA763323,SAMN21437986,4072,3925,88,assembly from type material,Halobacteriales,98.96,0.83
GCF_013391085.1,ASM1339108v1,Natronomonas halophila,2747817,OK,,C90,,,,,GCF_013391085.1-RS_2024_05_05,3211682,1,Complete Genome,7/7/2020,,3211682,3211682,1,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA641283,SAMN15354823,3425,3370,5,assembly from type material,Halobacteriales,99.17,1.66
GCF_029338275.1,ASM2933827v1,Haloarcula ordinaria,3033390,OK,,ZS-22-S1,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),3525489,2,Complete Genome,3/22/2023,,3190156,3190156,2,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA942497,SAMN33693502,3699,3561,78,assembly from type material,Haloarcula,83.68,8.77
GCF_024662215.1,ASM2466221v1,Methanoplanus endosymbiosus,33865,OK,,DSM 3599,,,,,GCF_024662215.1-RS_2024_08_31,3163021,1,Complete Genome,8/15/2022,,3163021,3163021,1,,,,,,,PacBio Sequel,National Chung Hsing University,PRJNA801442,SAMN25349865,2943,2852,14,assembly from type material,Methanoplanus,86.45,6.76
GCF_024227715.1,ASM2422771v1,Halomarina litorea,2961595,OK,,BCD28,,,,,GCF_024227715.1-RS_2024_07_29,3884949,6,Complete Genome,7/13/2022,,3126219,3126219,6,,,,,,,PacBio,Jiangsu University,PRJNA854267,SAMN29425829,4196,4076,70,assembly from type material,Halobacteriales,98.79,1.24
GCF_021249345.1,ASM2124934v1,Halobacterium wangiae,2902623,OK,,Gai3-17,,,,,GCF_021249345.1-RS_2024_06_10,3112195,1,Complete Genome,12/21/2021,,3112195,3112195,1,,,,,,,PacBio Sequel,Jiangsu University,PRJNA787363,SAMN23798262,3325,3253,20,assembly from type material,Halobacterium,95.35,7.25
GCF_020886315.1,ASM2088631v1,Saccharolobus caldissimus,1702097,Inconclusive,,JCM 32116,,,,,GCF_020886315.1-RS_2024_05_11,3075795,1,Complete Genome,11/5/2021,,3075795,3075795,1,,,,,,,Illumina Novaseq 6000; Oxford Nanopore Minion,"Laboratory of Extremophiles, Department of Science and Engineering for Sustainable Innovation, Faculty of Science and Engineering, Soka University",PRJDB12504,SAMD00413002,3353,3146,156,assembly from type material,Sulfolobaceae,98.47,1.4
GCF_029490015.1,ASM2949001v1,Halobaculum limi,3031916,OK,,YSMS11,,,,,GCF_029490015.1-RS_2024_06_17,3478749,2,Complete Genome,3/30/2023,,3049644,3049644,2,,,,,,,PacBio Sequel,Jiangsu University,PRJNA940691,SAMN33577287,3527,3448,25,assembly from type material,Halobacteriales,98.08,1.87
GCF_017094485.1,ASM1709448v1,Natranaeroarchaeum sulfidigenes,2784880,OK,,AArc-S,,,,,GCF_017094485.1-RS_2024_09_19,3041127,1,Complete Genome,3/1/2021,,3041127,3041127,1,,,,,,,Illumina MiSeq; PacBio,C.N.R. - Institute for Biological Resources and Marine Biotechnology (IRBIM),PRJNA670096,SAMN16483868,3183,3094,32,assembly from type material,Halobacteriales,99.5,0.41
GCF_029278565.1,ASM2927856v1,Haloarcula halophila,3032584,OK,,DFY41,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4041616,4,Complete Genome,3/20/2023,,3038664,3038664,4,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA942079,SAMN33651782,4193,4034,84,assembly from type material,Haloarcula,89.11,10.78
GCF_024138125.1,ASM2413812v1,Halorussus salilacus,2953750,OK,,YCN54,,,,,GCF_024138125.1-RS_2024_07_29,3596520,4,Complete Genome,7/5/2022,,3037152,3037152,4,,,,,,,PacBio,Jiangsu University,PRJNA850522,SAMN29182972,3650,3550,44,assembly from type material,Halobacteriales,99.1,1.45
GCF_029338235.1,ASM2933823v1,Haloarcula rara,3033387,OK,,SHR3,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),3282213,2,Complete Genome,3/22/2023,,3034613,3034613,2,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA942486,SAMN33693471,3533,3379,99,assembly from type material,Haloarcula,81.89,6.58
GCF_030127165.1,ASM3012716v1,Halobaculum lipolyticum,3032001,OK,,DT31,,,,,GCF_030127165.1-RS_2024_06_17,3430593,2,Complete Genome,5/29/2023,,3024028,3024028,2,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA941167,SAMN33591101,3539,3457,28,assembly from type material,Halobacteriales,98.58,0.62
GCF_018228765.1,ASM1822876v1,Halorubrum ruber,2982524,OK,,MBLA0099,,,,,GCF_018228765.1-RS_2024_05_06,3021820,1,Complete Genome,5/3/2021,,3021820,3021820,1,,,,,,,PacBio RSII,Incheon National University,PRJNA718722,SAMN18559506,3000,2813,131,assembly from type material,Halorubrum,93.87,2.57
GCF_004087835.1,ASM408783v1,Halorussus pelagicus,2505977,OK,,RC-68,,,,,GCF_004087835.1-RS_2024_10_23,3490924,4,Complete Genome,1/21/2019,,3017361,3017361,4,,,,,,,PacBio,Jiangsu University,PRJNA514419,SAMN10724366,3565,3457,49,assembly from type material,Halobacteriales,99.1,1.24
GCF_020097815.1,ASM2009781v1,Haloprofundus salinisoli,2876193,OK,,SQT7-1,,,,,GCF_020097815.1-RS_2024_05_12,3421753,3,Complete Genome,9/23/2021,,3017014,3017014,3,,,,,,,PacBio Sequel,Jiangsu University,PRJNA763320,SAMN21437959,3530,3430,35,assembly from type material,Halobacteriales,99.38,0.41
GCF_019880245.1,ASM1988024v1,Halobaculum roseum,2175149,OK,,CGMCC 1.15501,,,,,GCF_019880245.1-RS_2024_05_12,3719897,4,Complete Genome,9/5/2021,,2980919,2980919,4,,,,,,,PacBio,Jiangsu University,PRJNA757270,SAMN20958564,3784,3672,48,assembly from type material,Halobacteriales,97.88,3.11
GCF_024362525.1,ASM2436252v1,Natrononativus amylolyticus,2963434,Inconclusive,,CGA73,,,,,GCF_024362525.1-RS_2024_05_12,3986100,3,Complete Genome,7/21/2022,,2976992,2976992,3,,,,,,,PacBio,Jiangsu University,PRJNA857842,SAMN29638652,4018,3894,68,assembly from type material,Halobacteriales,98.89,0.69
GCF_019823105.1,ASM1982310v1,Halobaculum magnesiiphilum,1017351,OK,,NBRC 109044,,,,,GCF_019823105.1-RS_2024_05_12,3732450,4,Complete Genome,8/31/2021,,2965230,2965230,4,,,,,,,PacBio,Jiangsu University,PRJNA757273,SAMN20958642,3793,3664,68,assembly from type material,Halobacteriales,98.17,1.45
GCF_019880225.1,ASM1988022v1,Halobaculum rubrum,2872158,OK,,C46,,,,,GCF_019880225.1-RS_2024_05_12,3058052,2,Complete Genome,9/5/2021,,2964354,2964354,2,,,,,,,PacBio,Jiangsu University,PRJNA757259,SAMN20957702,3111,3034,23,assembly from type material,Halobacteriales,97.98,1.45
